આફ્રિકા	África
રાજુલા	Rajula
ચામરાજનગર	Chamrajanagar
જસવંત થડા	Jaswant Thada
જૈમિનિ	Jaimini
તલ	Sesamum indicum
ભારત સરકાર	Gobierno de la India
મંગળસૂત્ર	Mangalsutra
મધુબની	Madhubani
મહેબૂબનગર	Mahbubnagar
માંડ્યા જિલ્લો	Distrito de Mandya
વિશ્વામિત્ર	Visuá Mitra
જમ્મુ	Jammu (división administrativa)
ખાખરા	Khakhra
બાદિયાન	Illicium verum
શ્રેણી:સંસ્કૃતિ	Categoría:Cultura
કણ્ણૂર જિલ્લો	Distrito de Kannur
કુલ્લૂ જિલ્લો	Distrito de Kullu
સોલન જિલ્લો	Distrito de Solan
જામતાડા જિલ્લો	Distrito de Jamtara
શિમોગા જિલ્લો	Distrito de Shimoga
જામનગર જિલ્લો	Distrito de Jamnagar
અનંતનાગ જિલ્લો	Distrito de Anantnag
વડાપાવ	Vada pav
ડેવિડ બુન	David Boon
પીપળો	Ficus religiosa
ગિરિજા દેવી	Girija Devi
પ્રાણ (અભિનેતા)	Pran
સલીમ સુલેમાન	Salim-Sulaiman
વિશાલ-શેખર	Vishal-Shekhar
ઢાંચો:સૌરમંડળ	Plantilla:Sistema Solar
સુરેશ વાડકર	Suresh Wadkar
કાવો (કાશ્મીરી ચ્હા)	Kahwah
સામો	Echinochloa colona
આચાર્ય જગદીશચંદ્ર બોઝ ભારતીય વનસ્પતિ ઉદ્યાન	Jardín Botánico de Calcuta
વિકિપીડિયા:HotCat	Wikipedia:HotCat
બોંગાઇગાંવ	Bongaigaon
કૈલાશ સત્યાર્થી	Kailash Satyarthi
જલાનુવર્તન	Hidrotropismo
સામ પિત્રોડા	Sam Pitroda
ભારતીય સામાન્ય ચૂંટણી, ૨૦૧૪	Elecciones generales de India de 2014
ઢાંચો:Location map India Gujarat	Plantilla:Mapa de localización de Guyarat
ઢાંચો:Location map India Jammu and Kashmir	Plantilla:Mapa de localización de Jammu y Cachemira
વિજયનગર	Vizianagaram
ભીમ	Bhima
ચાઇનીઝ માર્શલ આર્ટ્સ	Artes marciales de China
લાઠી	Lathi
ઢાંચો:ઉક્તિ	Plantilla:Cita
કેરી	Mangifera indica
દંતેવાડા	Dantewada
સર્જિયો માત્તારેલા	Sergio Mattarella
ઢાંચો:Location map Scotland	Plantilla:Mapa de localización de Escocia
યિંગકીયોંગ	Yingkiong
વિકિપીડિયા:પ્રબંધક	Wikipedia:Bibliotecarios
શ્રેણી:વ્યક્તિત્વ	Categoría:Personas
શ્રેણી:Pages with malformed coordinate tags	Categoría:Wikipedia:Páginas con etiquetas de coordenadas con formato incorrecto
શ્રેણી:કલા	Categoría:Arte
ઇજિપ્ત	Egipto
બારપેટા	Barpeta
વિકિપીડિયા:સંદિગ્ધ શીર્ષક	Wikipedia:Ambigüedad en títulos
વિકિપીડિયા:શ્રેણી	Wikipedia:Categorización
રવીન્દ્ર પ્રભાત	Ravindra Prabhat
કણ્વ	Kanua
વિકિપીડિયા:વિકિપરિયોજના	Wikipedia:Wikiproyectos
ઢાંચો:Bot	Plantilla:Bot
વિકિપીડિયા:વિકિપીડિયા શું નથી	Wikipedia:Lo que Wikipedia no es
કેનેડા	Canadá
વિકિપીડિયા:પ્રકાશનાધિકાર	Wikipedia:Derechos de autor
વાલી	Vali (mitología hinduista)
શ્રાદ્ધ	Sraddha (rito funerario)
વિકિપીડિયા:પ્રબંધકોનું સૂચનપટ	Wikipedia:Tablón de anuncios de los bibliotecarios/Portal/Archivo/Miscelánea/Actual
શ્રેણી:યુરોપ	Categoría:Europa
વિકિપીડિયા:વર્તમાન ઘટનાઓ	Portal:Actualidad
ઢાંચો:Documentation	Plantilla:Documentación
શ્રેણી:રદ કરવા માટેના પાના	Categoría:Wikipedia:Borrar
શ્રેણી:સભ્યોની ભાષાઓ	Categoría:Wikipedia:Wikipedistas por idioma
વિકિપીડિયા:પાયાના પાંચ સિદ્ધાંત	Wikipedia:Los cinco pilares
વિકિપીડિયા:નિષ્પક્ષ દૃષ્ટિકોણ	Wikipedia:Punto de vista neutral
વિકિપીડિયા:પ્રારંભિક સંશોધન નહીં	Wikipedia:Wikipedia no es una fuente primaria
વિકિપીડિયા:નોંધનીયતા	Wikipedia:Artículos sin relevancia aparente
વિકિપીડિયા:બાહ્ય કડીઓ	Wikipedia:Enlaces externos
વિકિપીડિયા:ઉચિત વપરાશ	Wikipedia:Uso legítimo
અરરિયા	Araria
વિકિપીડિયા:સહીઓ	Wikipedia:Firma de usuario
વિકિપીડિયા:નોંધનીયતા (વ્યક્તિ કે લોકો)	Wikipedia:Criterio de relevancia en artículos biográficos
વિકિપીડિયા:જીવંત વ્યક્તિઓનું જીવન ચરિત્ર	Wikipedia:Biografías de personas vivas
વિકિપીડિયા:સભ્યનામ નીતિ	Wikipedia:Nombres de usuario
મદદ:Footnotes	Wikipedia:Referencias
આલિયા ભટ્ટ	Alia Bhatt
ઢાંચો:Softredirect	Plantilla:Redirección suave
ઢાંચો:Delete	Plantilla:Destruir
ઢાંચો:Please leave this line alone (sandbox heading)	Plantilla:Zona de pruebas
ન્યાયશાસ્ત્ર	Jurisprudencia
શ્રેણી:ભાષાઓ	Categoría:Lenguas
શ્રેણી:વિકિપીડિયા	Categoría:Wikipedia
વિકિપીડિયા:General disclaimer	Wikipedia:Limitación general de responsabilidad
શ્રેણી:તૂટી ફાઈલ કડીઓને સાથે પાના	Categoría:Wikipedia:Páginas con enlaces rotos a archivos
ઢાંચો:Navbox	Plantilla:Navegación
કાંગારુ	Canguro
ઢાંચો:Track listing	Plantilla:Lista de canciones
ઢાંચો:Nutshell	Plantilla:En resumen
ઢાંચો:!	Plantilla:!
ઢાંચો:Tnavbar	Plantilla:Navbar
ઢાંચો:Transclude	Plantilla:Transcluir
ઢાંચો:Small	Plantilla:Small
ઢાંચો:Clear	Plantilla:Clear
ઢાંચો:Trim	Plantilla:Trim
ઢાંચો:Nowrap	Plantilla:Nowrap
ઢાંચો:Tooltip	Plantilla:Abreviatura
ઢાંચો:Anchor	Plantilla:Ancla
વિકિપીડિયા:દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Wikipedia:Lista de artículos que toda Wikipedia debería tener
શ્રેણી:આફ્રિકા	Categoría:África
શ્રેણી:જુલાઇ	Categoría:Julio
શ્રેણી:જૂન	Categoría:Junio
ઢાંચો:વિકિસ્રોત	Plantilla:Wikisource
ઢાંચો:Babel	Plantilla:Babel
ઢાંચો:Commons	Plantilla:Commons
ઢાંચો:Reflist	Plantilla:Listaref
વિકિપીડિયા:સંદર્ભ	Wikipedia:Verificabilidad (propuesta)
ઢાંચો:સ્ટબ	Plantilla:Esbozo
ઢાંચો:See also	Plantilla:VT
રગડા પેટીસ	Ragda pattice
શ્રેણી:ફેબ્રુઆરી	Categoría:Febrero
ઢાંચો:Country data Tajikistan	Plantilla:Geodatos Tayikistán
શ્રેણી:એશિયા	Categoría:Asia
શ્રેણી:ચીલી	Categoría:Chile
ઢાંચો:Country data Kuwait	Plantilla:Geodatos Kuwait
શ્રેણી:૧૯૧૦	Categoría:1910
ઢાંચો:SIL	Plantilla:Doc ISO3
ઢાંચો:Infobox football club	Plantilla:Ficha de equipo de fútbol
ઢાંચો:Wikipediasister	Plantilla:Portada:Proyectos
ઢાંચો:Country data Belgium	Plantilla:Geodatos Bélgica
ઢાંચો:Country data Slovakia	Plantilla:Geodatos Eslovaquia
ઢાંચો:Country data Panama	Plantilla:Geodatos Panamá
ઢાંચો:Country flagnavy	Plantilla:Banderanavalpaís
ઢાંચો:Country data Ecuador	Plantilla:Geodatos Ecuador
ઢાંચો:Country data Ethiopia	Plantilla:Geodatos Etiopía
ઢાંચો:Country data Tunisia	Plantilla:Geodatos Túnez
ઢાંચો:Country data Czech Republic	Plantilla:Geodatos República Checa
ઢાંચો:Country data થાઈલેન્ડ	Plantilla:Geodatos Tailandia
ઢાંચો:Country data Indonesia	Plantilla:Geodatos Indonesia
ઢાંચો:Country data Cambodia	Plantilla:Geodatos Camboya
ઢાંચો:Country data Madagascar	Plantilla:Geodatos Madagascar
ઢાંચો:Country data Albania	Plantilla:Geodatos Albania
ઢાંચો:Country data Peru	Plantilla:Geodatos Perú
ઢાંચો:દેશ માહિતી પૅરાગ્વે	Plantilla:Geodatos Paraguay
ઢાંચો:Country data Macau	Plantilla:Geodatos Macao
ઢાંચો:Country data Kenya	Plantilla:Geodatos Kenia
ઢાંચો:Country data Uzbekistan	Plantilla:Geodatos Uzbekistán
ઢાંચો:દેશ માહિતી બોલીવિયા	Plantilla:Geodatos Bolivia
ઢાંચો:Country data Liechtenstein	Plantilla:Geodatos Liechtenstein
ઢાંચો:Country data Togo	Plantilla:Geodatos Togo
ઢાંચો:માસ	Plantilla:Mes
ઢાંચો:Country data Mali	Plantilla:Geodatos Malí
ઢાંચો:Country data Moldova	Plantilla:Geodatos Moldavia
ઢાંચો:Country data Latvia	Plantilla:Geodatos Letonia
ઢાંચો:Football kit	Plantilla:Uniforme
ઢાંચો:Country data Malta	Plantilla:Geodatos Malta
ઢાંચો:Country data Monaco	Plantilla:Geodatos Mónaco
ઢાંચો:Country data Denmark	Plantilla:Geodatos Dinamarca
ઢાંચો:Country data Iceland	Plantilla:Geodatos Islandia
ઢાંચો:Country data Poland	Plantilla:Geodatos Polonia
ઢાંચો:Country data Bulgaria	Plantilla:Geodatos Bulgaria
ઢાંચો:Country data Guyana	Plantilla:Geodatos Guyana
ઢાંચો:Country data Norway	Plantilla:Geodatos Noruega
ઢાંચો:Country data South Africa	Plantilla:Geodatos Sudáfrica
ઢાંચો:Country data Georgia	Plantilla:Geodatos Georgia
ઢાંચો:Country data Uruguay	Plantilla:Geodatos Uruguay
ઢાંચો:Image label	Plantilla:Etiqueta imagen
ઢાંચો:અધિકૃત જાળસ્થળ	Plantilla:Página web
ઢાંચો:Country data Brunei	Plantilla:Geodatos Brunéi
ઢાંચો:Country data Sri Lanka	Plantilla:Geodatos Sri Lanka
ઢાંચો:Country data Mexico	Plantilla:Geodatos México
ઢાંચો:Country data Greece	Plantilla:Geodatos Grecia
ઢાંચો:Country data Luxembourg	Plantilla:Geodatos Luxemburgo
ઢાંચો:Country data Saudi Arabia	Plantilla:Geodatos Arabia Saudita
ઢાંચો:Country data Croatia	Plantilla:Geodatos Croacia
ઢાંચો:Country data Iraq	Plantilla:Geodatos Irak
ઢાંચો:Infobox television	Plantilla:Ficha de serie de televisión
ઢાંચો:ભૌગોલિક સ્થાન	Plantilla:Ubicación geográfica
ઢાંચો:માહિતીચોકઠું સંગીત કલાકાર	Plantilla:Ficha de artista musical
ઢાંચો:Country data U.S. Virgin Islands	Plantilla:Geodatos Islas Vírgenes de los Estados Unidos
ઢાંચો:Country data Morocco	Plantilla:Geodatos Marruecos
ઢાંચો:Country data Serbia	Plantilla:Geodatos Serbia
ઢાંચો:Collapsible list	Plantilla:Lista desplegable
ઢાંચો:Country data Australia	Plantilla:Geodatos Australia
ઢાંચો:Country data France	Plantilla:Geodatos Francia
ઢાંચો:Ambox	Plantilla:Metaplantilla de avisos
ઢાંચો:Hide in print	Plantilla:Ocultar al imprimir
ઢાંચો:Infobox school	Plantilla:Ficha de escuela
ઢાંચો:Refimprove	Plantilla:Referencias adicionales
ઢાંચો:માહિતીચોકઠું દેશ	Plantilla:Ficha de país
ઢાંચો:Infobox Software	Plantilla:Ficha de software
ઢાંચો:Country data Laos	Plantilla:Geodatos Laos
ઢાંચો:Infobox airline	Plantilla:Ficha de aerolínea
ઢાંચો:Country data Austria	Plantilla:Geodatos Austria
ઢાંચો:Str left	Plantilla:Str left
ઢાંચો:Country data Nepal	Plantilla:Geodatos Nepal
ઢાંચો:Str sub long	Plantilla:Str sub
ઢાંચો:Country data Finland	Plantilla:Geodatos Finlandia
ઢાંચો:Audio	Plantilla:Audio
ઢાંચો:Flat list	Plantilla:Lista plana
ઢાંચો:Country data Egypt	Plantilla:Geodatos Egipto
ઢાંચો:Country data Lithuania	Plantilla:Geodatos Lituania
ઢાંચો:Country data Japan	Plantilla:Geodatos Japón
ઢાંચો:Country data Netherlands	Plantilla:Geodatos Países Bajos
ઢાંચો:Navbox with columns	Plantilla:Navegación con columnas
ઢાંચો:S-start	Plantilla:S-inicio
ઢાંચો:Nom	Plantilla:Nominado
ઢાંચો:Facebook	Plantilla:Facebook
ઢાંચો:Cite paper	Plantilla:Cita publicación
ઢાંચો:Country data Azerbaijan	Plantilla:Geodatos Azerbaiyán
ઢાંચો:Country data Czechoslovakia	Plantilla:Geodatos Checoslovaquia
ઢાંચો:Cite news	Plantilla:Cita noticia
ઢાંચો:Family tree	Plantilla:Árbol genealógico
ઢાંચો:Country data Vietnam	Plantilla:Geodatos Vietnam
ઢાંચો:ઉમદા લેખ	Plantilla:Artículo destacado
ઢાંચો:Country data Libya	Plantilla:Geodatos Libia
ઢાંચો:Country data Russia	Plantilla:Geodatos Rusia
શ્રેણી:પેરિસ	Categoría:París
શ્રેણી:User en-4	Categoría:Wikipedia:Wikipedistas con nivel experto de inglés
શ્રેણી:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
શ્રેણી:User en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
ઢાંચો:Infobox	Plantilla:Ficha
ઢાંચો:Main other	Plantilla:Main other
ઢાંચો:Str crop	Plantilla:Str crop
ઢાંચો:Legend	Plantilla:Leyenda
ઢાંચો:Cite web	Plantilla:Cita web
ઢાંચો:Infobox bridge	Plantilla:Ficha de puente
ઢાંચો:Country data Italy	Plantilla:Geodatos Italia
ઢાંચો:Country data	Plantilla:Geodatos
ઢાંચો:વિજયી	Plantilla:Ganador
ઢાંચો:GeoTemplate	Plantilla:GeoTemplate
ઢાંચો:Coor URL	Plantilla:Coor URL
ઢાંચો:Wiktionary	Plantilla:Wikcionario
ઢાંચો:Country data Sweden	Plantilla:Geodatos Suecia
ઢાંચો:Chem	Plantilla:Fquim
ઢાંચો:Language icon	Plantilla:En idioma
શ્રેણી:User hi	Categoría:Wikipedia:Wikipedistas con conocimientos de hindi
શ્રેણી:હિન્દી ચલચિત્ર	Categoría:Películas de India
ઢાંચો:ITIS	Plantilla:ITIS
ઢાંચો:Other uses	Plantilla:Otros usos
ઢાંચો:Country data Soviet Union	Plantilla:Geodatos Unión Soviética
ઢાંચો:Country data India	Plantilla:Geodatos India
ઢાંચો:Language with name	Plantilla:LangWithName
ઢાંચો:Country data Algeria	Plantilla:Geodatos Argelia
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Plantilla:Ficha de grupo étnico
ઢાંચો:MONTHNAME	Plantilla:Nombre mes
ઢાંચો:Category redirect	Plantilla:Categoría redirigida
વિકિપીડિયા:Text of the GNU Free Documentation License	Wikipedia:Texto de la Licencia de documentación libre de GNU
ઢાંચો:Country data Venezuela	Plantilla:Geodatos Venezuela
ઢાંચો:Infobox protected area	Plantilla:Ficha de espacio natural
ઢાંચો:Border	Plantilla:Borde
ઢાંચો:Country data Portugal	Plantilla:Geodatos Portugal
ઢાંચો:Country data Ireland	Plantilla:Geodatos Irlanda
ઢાંચો:Translation/Ref	Plantilla:Traducido ref
ઢાંચો:Top icon	Plantilla:Icono en título
શ્રેણી:Country data templates	Categoría:Wikipedia:Plantillas de geodatos
ઢાંચો:Country data China	Plantilla:Geodatos China
ઢાંચો:Country data Benin	Plantilla:Geodatos Benín
ઢાંચો:Country data ENG	Plantilla:Geodatos Inglaterra
ઢાંચો:Family tree/end	Plantilla:Árbol genealógico/fin
ઢાંચો:Country data Turkey	Plantilla:Geodatos Turquía
ઢાંચો:Country data Cyprus	Plantilla:Geodatos Chipre
ઢાંચો:Country data Switzerland	Plantilla:Geodatos Suiza
ઢાંચો:Country data Philippines	Plantilla:Geodatos Filipinas
ઢાંચો:Country data Nigeria	Plantilla:Geodatos Nigeria
ઢાંચો:Country data Belarus	Plantilla:Geodatos Bielorrusia
ઢાંચો:Country data Malaysia	Plantilla:Geodatos Malasia
ઢાંચો:Country data Armenia	Plantilla:Geodatos Armenia
ઢાંચો:Country data Zimbabwe	Plantilla:Geodatos Zimbabue
ઢાંચો:Country data Timor-Leste	Plantilla:Geodatos Timor Oriental
ઢાંચો:Country data South Vietnam	Plantilla:Geodatos Vietnam del Sur
ઢાંચો:Country data Kazakhstan	Plantilla:Geodatos Kazajistán
ઢાંચો:Country data Chile	Plantilla:Geodatos Chile
ઢાંચો:Country data Slovenia	Plantilla:Geodatos Eslovenia
ઢાંચો:Country data Lebanon	Plantilla:Geodatos Líbano
ઢાંચો:માહિતીચોકઠું પુસ્તક	Plantilla:Ficha de libro
ઢાંચો:Country data Bhutan	Plantilla:Geodatos Bután
ઢાંચો:Tlc	Plantilla:Epc
ઢાંચો:Country data Ceylon	Plantilla:Geodatos Ceilán
ઢાંચો:Talkback	Plantilla:Respuesta
શ્રેણી:જાન્યુઆરી	Categoría:Enero
ઢાંચો:Lang-fa	Plantilla:Lang-fa
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Plantilla:Ficha de sitio web
ઢાંચો:Image label end	Plantilla:Etiqueta imagen fin
ઢાંચો:Uncategorized	Plantilla:Categorízame
ઢાંચો:Talk header	Plantilla:Encabezado discusión
ઢાંચો:Quote box	Plantilla:Caja de cita
ઢાંચો:Infobox medal templates	Plantilla:Sección desplegable
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Plantilla:Ficha de Patrimonio de la Unesco
ઢાંચો:Infobox astronaut	Plantilla:Ficha de astronauta
ઢાંચો:Str len	Plantilla:Str len
ઢાંચો:Purge	Plantilla:Purgar
ઢાંચો:Infobox sport	Plantilla:Ficha de deporte
ઢાંચો:MedalSport	Plantilla:Medalla deportiva
ઢાંચો:Lang-de	Plantilla:Lang-de
ઢાંચો:Empty category	Plantilla:Categoría vacía
ઢાંચો:Country data Austria-Hungary	Plantilla:Geodatos Imperio austrohúngaro
ઢાંચો:Infobox building	Plantilla:Ficha de edificio
ઢાંચો:Location map USA	Plantilla:Mapa de localización de Estados Unidos
ઢાંચો:Lang-el	Plantilla:Lang-el
ઢાંચો:NASDAQ	Plantilla:Nasdaq
ઢાંચો:Clarify	Plantilla:Qué
ઢાંચો:Loremipsum	Plantilla:Lorem ipsum
શ્રેણી:ગુજરાતના જિલ્લાઓ	Categoría:Distritos de Guyarat
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Categoría:Aeropuertos de Vietnam
ઢાંચો:Emergency-bot-shutoff	Plantilla:Paro de emergencia del bot
ઢાંચો:Image label small	Plantilla:Etiqueta imagen pequeña
ઢાંચો:Nihongo	Plantilla:Nihongo
ઢાંચો:Infobox military unit	Plantilla:Ficha de unidad militar
ઢાંચો:Infobox stadium	Plantilla:Ficha de recinto deportivo
ઢાંચો:IPAEng	Plantilla:AFI-en
ઢાંચો:Infobox tennis player	Plantilla:Ficha de tenista
ઢાંચો:Cite conference	Plantilla:Cita conferencia
ઢાંચો:Infobox political post	Plantilla:Ficha de cargo político
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Categoría:Presidentes de la India
ઢાંચો:Fake heading	Plantilla:Sección falsa
ઢાંચો:TOCgeohack	Plantilla:GeoTemplate/TOCgeohack
ઢાંચો:Nobold	Plantilla:Sin negrita
ઉપનિષદ	Upanishad
ઢાંચો:Multicol-break	Plantilla:Nueva columna
ઢાંચો:Infobox game	Plantilla:Ficha de juego
ઢાંચો:Country data West Germany	Plantilla:Geodatos Alemania Occidental
ઢાંચો:Lang-ru	Plantilla:Lang-ru
ઢાંચો:Country data East Germany	Plantilla:Geodatos Alemania Oriental
ઢાંચો:@	Plantilla:@
શ્રેણી:Images	Categoría:Wikipedia:Imágenes
ઢાંચો:Polytonic	Plantilla:Polytonic
ઢાંચો:Family tree/start	Plantilla:Árbol genealógico/inicio
ઢાંચો:URL	Plantilla:URL
ઢાંચો:સંદિગ્ધ શીર્ષક	Plantilla:Desambiguación
ઢાંચો:No	Plantilla:No
ઢાંચો:Plainlist	Plantilla:Lista simple
ઢાંચો:Doi	Plantilla:Doi
ઢાંચો:Fb	Plantilla:Self-i
ઢાંચો:જીવનકાળ	Plantilla:NF
ઢાંચો:Infobox film	Plantilla:Ficha de película
ઢાંચો:Country data Ottoman Empire	Plantilla:Geodatos Imperio otomano
ઢાંચો:Nutritionalvalue	Plantilla:Ficha de valor nutricional
ઢાંચો:User sandbox	Plantilla:Taller de usuario
ઢાંચો:Infobox organisation	Plantilla:Ficha de organización
ઢાંચો:Audio-IPA	Plantilla:Audio-AFI
ઢાંચો:Infobox treaty	Plantilla:Ficha de tratado
ઢાંચો:Str rightc	Plantilla:Str rightc
ઢાંચો:Infobox military installation	Plantilla:Ficha de estructura militar
શ્રેણી:મધ્ય પ્રદેશના જિલ્લાઓ	Categoría:Distritos de Madhya Pradesh
ઢાંચો:Infobox museum	Plantilla:Ficha de museo
ઢાંચો:Lang-fr	Plantilla:Lang-fr
ઢાંચો:FRA	Plantilla:FRA
ઢાંચો:Pending	Plantilla:Pendiente
ઢાંચો:માહિતીચોકઠું વ્યક્તિ	Plantilla:Ficha de persona
ઢાંચો:Geological range	Plantilla:Rango fósil
ઢાંચો:Country data Israel	Plantilla:Geodatos Israel
ઢાંચો:Country data Ukraine	Plantilla:Geodatos Ucrania
ઢાંચો:Country data Colombia	Plantilla:Geodatos Colombia
ઢાંચો:Country data Pakistan	Plantilla:Geodatos Pakistán
ઢાંચો:Country data Ghana	Plantilla:Geodatos Ghana
ઢાંચો:Country data South Korea	Plantilla:Geodatos Corea del Sur
શ્રેણી:કેરળ	Categoría:Kerala
ઢાંચો:Convert	Plantilla:Convertir
શ્રેણી:ખગોળશાસ્ત્ર	Categoría:Matemática
ઢાંચો:Country data Sint Eustatius	Plantilla:Geodatos San Eustaquio
ઢાંચો:Infobox football tournament	Plantilla:Ficha de torneo de fútbol
ઢાંચો:Copy edit	Plantilla:Copyedit
ઢાંચો:Coord	Plantilla:Coord
ઢાંચો:Country data Idaho	Plantilla:Geodatos Idaho
ઢાંચો:Dmoz	Plantilla:Dmoz
કથ્થાઇ પેટ થડચડ	Sitta castanea
ઢાંચો:Country data Bohemia	Plantilla:Geodatos Bohemia
ઢાંચો:Country data Bahrain	Plantilla:Geodatos Baréin
શ્રેણી:User fr	Categoría:Wikipedia:Wikipedistas con conocimientos de francés
શ્રેણી:User gu	Categoría:Wikipedia:Wikipedistas con conocimientos de gujarati
શ્રેણી:User hi-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de hindi
શ્રેણી:सदस्य hi-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de hindi
શ્રેણી:User fr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de francés
શ્રેણી:User hi-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de hindi
ઢાંચો:Cite video	Plantilla:Cita vídeo
ઢાંચો:IncreaseNegative	Plantilla:Creciente negativo
શ્રેણી:User de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
શ્રેણી:User en-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de inglés
શ્રેણી:User en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
ઢાંચો:N/a	Plantilla:No anunciado
ઢાંચો:Category class	Plantilla:Clase-cat
પોરબંદર	Porbandar
ઢાંચો:Edit filter warning	Plantilla:Aviso del filtro de ediciones
ઢાંચો:Country data Germany	Plantilla:Geodatos Alemania
ઢાંચો:Country data United Kingdom	Plantilla:Geodatos Reino Unido
ઢાંચો:Location map Greater London	Plantilla:Mapa de localización de Gran Londres
ઢાંચો:Country data Estonian SSR	Plantilla:Geodatos RSS de Estonia
ઢાંચો:માહિતીચોકઠું રોગ	Plantilla:Ficha de enfermedad
ઢાંચો:The Working Wikipedian's Barnstar	Wikipedia:Wikiestrellas/Trabajador
ઢાંચો:Country data Scotland	Plantilla:Geodatos Escocia
ઢાંચો:Country data Estonia	Plantilla:Geodatos Estonia
ઢાંચો:Country data Montenegro	Plantilla:Geodatos Montenegro
ઢાંચો:Weather box	Plantilla:Clima
ઢાંચો:Su	Plantilla:Su
ઢાંચો:Confuse	Plantilla:Distinguir
ઢાંચો:Wikivoyage	Plantilla:Wikiviajes
શ્રેણી:નવેમ્બર	Categoría:Noviembre
પાણી (અણુ)	Molécula de agua
ઢાંચો:Wikipedia how to	Plantilla:Guía
શ્રેણી:માર્ચ	Categoría:Marzo
શ્રેણી:સપ્ટેમ્બર	Categoría:Septiembre
શ્રેણી:ઓક્ટોબર	Categoría:Octubre
ઢાંચો:Only in print	Plantilla:Solo al imprimir
શ્રેણી:ડિસેમ્બર	Categoría:Diciembre
શ્રેણી:ઓગસ્ટ	Categoría:Agosto
શ્રેણી:મે	Categoría:Mayo
ઢાંચો:Rp	Plantilla:Rp
ઢાંચો:Country data Korean Empire	Plantilla:Geodatos Imperio Coreano
ઢાંચો:Country data Zimbabwe Rhodesia	Plantilla:Geodatos Zimbabue Rodesia
શ્રેણી:ઇંગ્લેન્ડ	Categoría:Inglaterra
અર્થીંગ	Toma de tierra
શ્રેણી:એપ્રિલ	Categoría:Abril
ઢાંચો:Str ≥ len	Plantilla:Str ≥ len
ઢાંચો:String templates see also text	Plantilla:Navegación modificadores de cadena
ઢાંચો:Red	Plantilla:Rojo
ઢાંચો:Country data Brazil	Plantilla:Geodatos Brasil
ઢાંચો:ફિફા ખેલાડી	Plantilla:Jugador FIFA
ઢાંચો:Country data Northern Ireland	Plantilla:Geodatos Irlanda del Norte
ઢાંચો:Title without disambig	Plantilla:Título sin coletilla
ઢાંચો:Country data Swaziland	Plantilla:Geodatos Suazilandia
ઢાંચો:Country data Somaliland	Plantilla:Geodatos Somalilandia
ઢાંચો:Start date and age	Plantilla:Fecha de lanzamiento
ઢાંચો:Country data Hungary	Plantilla:Geodatos Hungría
શ્રેણી:ભારતના વિશ્વધરોહર સ્થળો	Categoría:Patrimonio de la Humanidad en la India
ઢાંચો:Infobox government agency	Plantilla:Ficha de organismo oficial
ઢાંચો:Country data New Zealand	Plantilla:Geodatos Nueva Zelanda
શ્રેણી:User ru	Categoría:Wikipedia:Wikipedistas con conocimientos de ruso
શ્રેણી:User ru-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de ruso
શ્રેણી:1533 જન્મો	Categoría:Nacidos en 1533
શ્રેણી:User tr	Categoría:Wikipedia:Wikipedistas con conocimientos de turco
શ્રેણી:User tr-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de turco
ઢાંચો:Gallery/aux	Plantilla:Galería de imágenes/aux
ઢાંચો:Country data Faroe Islands	Plantilla:Geodatos Islas Feroe
ઢાંચો:Lang	Plantilla:Lang
ઢાંચો:Country data United States	Plantilla:Geodatos Estados Unidos
ઢાંચો:Country data Russian SFSR	Plantilla:Geodatos República Socialista Federativa Soviética de Rusia
શ્રેણી:દિલ્હી	Categoría:Delhi
ઢાંચો:OCLC	Plantilla:OCLC
ઢાંચો:માહિતીચોકઠું તૈયાર ખોરાક	Plantilla:Ficha de comida
વિકિપીડિયા:નિષ્પક્ષતા વિવાદ	Wikipedia:Páginas sospechosas de no neutralidad
ઢાંચો:Country data Turkmenistan	Plantilla:Geodatos Turkmenistán
શ્રેણી:1986 જન્મો	Categoría:Nacidos en 1986
ઢાંચો:Country data North Korea	Plantilla:Geodatos Corea del Norte
ઢાંચો:Country data Afghanistan	Plantilla:Geodatos Afganistán
ઢાંચો:Country data Bangladesh	Plantilla:Geodatos Bangladés
ઢાંચો:Country data South Sudan	Plantilla:Geodatos Sudán del Sur
ઢાંચો:Location map India Orissa	Plantilla:Mapa de localización de Orissa
લવ યુ... મિ. કલાકાર	Love U...Mr. Kalakaar!
પાલીતાણા	Palitana
