Āfrika	África
Kategorija:Misisipi	Categoría:Misisipi
Kategorija:Misūri	Categoría:Misuri
Kategorija:Vērmonta	Categoría:Vermont
Kategorija:Virdžīnija	Categoría:Virginia
Kategorija:Dienviddakota	Categoría:Dakota del Sur
Kategorija:Aidaho	Categoría:Idaho
Kategorija:Aiova	Categoría:Iowa
Kategorija:Ārkanzasa	Categoría:Arkansas
Kategorija:Aļaska	Categoría:Alaska
Kategorija:Arizona	Categoría:Arizona
Kategorija:Alabama	Categoría:Alabama
Kategorija:Oregona	Categoría:Oregón
Kategorija:Ohaio	Categoría:Ohio
Kategorija:Rietumvirdžīnija	Categoría:Virginia Occidental
Kategorija:Viskonsina	Categoría:Wisconsin
Kategorija:Jūta	Categoría:Utah
Kategorija:Indiāna	Categoría:Indiana
Kategorija:Ilinoisa	Categoría:Illinois
Kategorija:Kanzasa	Categoría:Kansas
Kategorija:Kalifornija	Categoría:California
Kategorija:Kentuki	Categoría:Kentucky
Kategorija:Konektikuta	Categoría:Connecticut
Kategorija:Kolorādo	Categoría:Colorado
Kategorija:Teksasa	Categoría:Texas
Kategorija:Pensilvānija	Categoría:Pensilvania
Kategorija:Havajas	Categoría:Hawái
Kategorija:Izlūkošanas dienesti pēc valsts	Categoría:Servicios de inteligencia por país
Kategorija:2001. gada 11. septembra uzbrukums ASV	Categoría:Atentados del 11 de septiembre de 2001
Kategorija:Nākotnes sporta notikumi	Categoría:Acontecimientos deportivos futuros
Kategorija:Nākotnes notikumi	Categoría:Acontecimientos futuros
Kategorija:Polijas politiskās partijas	Categoría:Partidos políticos de Polonia
Kategorija:Bijušās partijas	Categoría:Partidos políticos desaparecidos
Veidne:Infobox animanga/Footer	Plantilla:Infobox animanga cierre
Vikipēdija:Lua	Wikipedia:Lua
Himēnijsēnes	Hymenomycotina
Veidne:MtDNS	Plantilla:ADNmt
Kategorija:Zemūdenes	Categoría:Submarinos
Kategorija:Celtnes un būves Grieķijā	Categoría:Edificios y estructuras de Grecia
Kategorija:Matemātiskie instrumenti	Categoría:Herramientas matemáticas
Kategorija:Astronomijas vēsture	Categoría:Historia de la astronomía
Veidne:OneLegResult	Plantilla:OneLegResult
Veidne:OneLegStart	Plantilla:OneLegStart
Kategorija:Ziemeļu Ledus okeāna jūras	Categoría:Mares del océano Ártico
Kategorija:Literāri darbi pēc žanra	Categoría:Literatura por género
Kategorija:Šumeru literatūra	Categoría:Literatura en sumerio
Kategorija:Mode	Categoría:Moda
Kategorija:Ziemeļu Ledus okeāns	Categoría:Océano Ártico
Veidne:QAT	Plantilla:QAT
Kategorija:Renesanses literatūra	Categoría:Literatura del Renacimiento
Veidne:RUS	Plantilla:RUS
Kategorija:Vācijas apbalvojumi	Categoría:Premios de Alemania
Kategorija:Mašīnpistoles	Categoría:Subfusiles
Kategorija:Sirds un asinsvadu līdzekļi	Categoría:Fármacos del sistema cardiovascular
Kategorija:Zviedrijas golferi	Categoría:Golfistas de Suecia
Veidne:Y-DNS	Plantilla:ADN-Y
Kategorija:Otrais pasaules karš	Categoría:Segunda Guerra Mundial
Kategorija:Jaunzēlandes pilsētas	Categoría:Localidades de Nueva Zelanda
Kategorija:Jorku dinastija	Categoría:Casa de York
Kategorija:Pirmais pasaules karš	Categoría:Primera Guerra Mundial
Kategorija:Bioloģiskie ieroči	Categoría:Armas biológicas
Kategorija:5,56 mm ieroči	Categoría:Armas de fuego de 5,56 mm
Kategorija:7,62 mm ieroči	Categoría:Armas de fuego de 7,62 mm
Kategorija:Šaujamieroči pēc kalibra	Categoría:Armas de fuego por calibre
Kategorija:Kaulzivis	Categoría:Osteichthyes
Kategorija:Pussalas pēc kontinenta	Categoría:Penínsulas por continente
Kategorija:Āzijas pussalas	Categoría:Penínsulas de Asia
Kategorija:Eiropas pussalas	Categoría:Penínsulas de Europa
Kategorija:Krievijas pussalas	Categoría:Penínsulas de Rusia
Kategorija:Galda spēles	Categoría:Juegos de mesa
Kategorija:Arābi	Categoría:Árabes
Veidne:AUT	Plantilla:AUT
Kategorija:Vējš	Categoría:Vientos
Kategorija:Alabamā dzimušie	Categoría:Alabamienses
Kategorija:Dzilnveidīgie	Categoría:Piciformes
Kategorija:Beļģu rakstnieki	Categoría:Escritores de Bélgica
Kategorija:Autoceļi Francijā	Categoría:Carreteras de Francia
Kategorija:Čīliešu rakstnieki	Categoría:Escritores de Chile
Kategorija:Vācijas rakstnieki	Categoría:Escritores de Alemania
Kategorija:Dāņu rakstnieki	Categoría:Escritores de Dinamarca
Kategorija:Nevadā dzimušie	Categoría:Nevadenses
Kategorija:Havajās dzimušie	Categoría:Hawaianos
Kategorija:Austrijas rakstnieki	Categoría:Escritores de Austria
Kategorija:Igaunijas rakstnieki	Categoría:Escritores de Estonia
Kategorija:Voltēra darbi	Categoría:Obras de Voltaire
Kategorija:Dziesmas pēc izpildītāja	Categoría:Canciones por artista
Kategorija:Dziesmas pēc valodas	Categoría:Canciones por idioma
Kategorija:Singli pēc gada	Categoría:Sencillos por año
Kategorija:Fjodora Dostojevska darbi	Categoría:Obras de Fiódor Dostoyevski
Kategorija:2003. gada singli	Categoría:Sencillos de 2003
Kategorija:Suņi	Categoría:Perros
Kategorija:Avrilas Laviņas dziesmas	Categoría:Canciones de Avril Lavigne
Kategorija:14. gadā mirušie	Categoría:Fallecidos en 14
Kategorija:Teiloras Sviftas dziesmas	Categoría:Canciones de Taylor Swift
Kategorija:Maikla Džeksona dziesmas	Categoría:Canciones de Michael Jackson
Kategorija:2009. gada singli	Categoría:Sencillos de 2009
Kategorija:30. gads	Categoría:30
Kategorija:2010. gada singli	Categoría:Sencillos de 2010
Kategorija:2011. gada singli	Categoría:Sencillos de 2011
Kategorija:Nellijas Furtado dziesmas	Categoría:Canciones de Nelly Furtado
Kategorija:Atmatenes	Categoría:Agaricales
Kategorija:Universitātes Vācijā	Categoría:Universidades de Alemania
Kategorija:Spraiga sižeta filmas	Categoría:Películas de acción
Kategorija:53. gads	Categoría:53
Kategorija:Izraēlas filmas	Categoría:Películas de Israel
Kategorija:79. gadā mirušie	Categoría:Fallecidos en 79
Kategorija:Franču rakstnieki	Categoría:Escritores de Francia
Kategorija:Grieķu rakstnieki	Categoría:Escritores de Grecia
Kategorija:Indijas rakstnieki	Categoría:Escritores de la India
Kategorija:Īru rakstnieki	Categoría:Escritores de Irlanda
Kategorija:Itāliešu rakstnieki	Categoría:Escritores de Italia
Kategorija:Japānas rakstnieki	Categoría:Escritores de Japón
Kategorija:Touchstone Pictures filmas	Categoría:Películas de Touchstone Pictures
Kategorija:Kinoakadēmijas balvas ieguvējas filmas svešvalodā	Categoría:Películas ganadoras del premio Óscar a la mejor película de habla no inglesa
Kategorija:Deivida Kronenberga filmas	Categoría:Películas dirigidas por David Cronenberg
Kategorija:Columbia Pictures filmas	Categoría:Películas de Columbia Pictures
Kategorija:Sirreālisma filmas	Categoría:Películas surrealistas
Kategorija:Frānsisa Forda Kopolas filmas	Categoría:Películas dirigidas por Francis Ford Coppola
Veidne:CHL	Plantilla:CHL
Kategorija:Mārtina Skorsēzes filmas	Categoría:Películas dirigidas por Martin Scorsese
Kategorija:Deivida Linča filmas	Categoría:Películas dirigidas por David Lynch
Kategorija:Stenlija Kubrika filmas	Categoría:Películas dirigidas por Stanley Kubrick
Kategorija:Kristofera Nolana filmas	Categoría:Películas dirigidas por Christopher Nolan
Kategorija:Warner Bros. filmas	Categoría:Películas de Warner Bros.
Kategorija:Atkarīgās teritorijas	Categoría:Territorios dependientes
Kategorija:2012. gada albumi	Categoría:Álbumes de 2012
Kategorija:Britnijas Spīrsas albumi	Categoría:Álbumes de Britney Spears
Kategorija:Teiloras Sviftas albumi	Categoría:Álbumes de Taylor Swift
Kategorija:Albumi pēc mūzikas žanra	Categoría:Álbumes por género
Kategorija:Jauniešu organizācijas	Categoría:Organizaciones juveniles
Kategorija:Enerģētikas uzņēmumi	Categoría:Empresas de energía
Kategorija:Mailijas Sairusas albumi	Categoría:Álbumes de Miley Cyrus
Kategorija:IPod spēles	Categoría:Videojuegos para iPod
Kategorija:2014. gada Vasaras Jaunatnes Olimpiskās spēles	Categoría:Juegos Olímpicos de la Juventud Nankín 2014
Kategorija:Jaunatnes Olimpiskās spēles	Categoría:Juegos Olímpicos de la Juventud
Kategorija:Reālā laika stratēģijas datorspēles	Categoría:Videojuegos de estrategia en tiempo real
Kategorija:Paraolimpiskās spēles	Categoría:Juegos Paralímpicos
Kategorija:PlayStation Portable spēles	Categoría:Videojuegos para PlayStation Portable
Kategorija:Platona daudzskaldņi	Categoría:Sólidos platónicos
Kategorija:Dreamcast spēles	Categoría:Videojuegos para Dreamcast
Kategorija:384. gadā mirušie	Categoría:Fallecidos en 384
Kategorija:2002. gada datorspēles	Categoría:Videojuegos de 2002
Kategorija:2004. gada datorspēles	Categoría:Videojuegos de 2004
Kategorija:2006. gada datorspēles	Categoría:Videojuegos de 2006
Kategorija:430. gads	Categoría:430
Kategorija:2007. gada datorspēles	Categoría:Videojuegos de 2007
Kategorija:2008. gada datorspēles	Categoría:Videojuegos de 2008
Kategorija:Sports Barselonā	Categoría:Deporte en Barcelona
Kategorija:2011. gada datorspēles	Categoría:Videojuegos de 2011
Kategorija:2012. gada datorspēles	Categoría:Videojuegos de 2012
Kategorija:Lihteinšteinas ģeogrāfija	Categoría:Geografía de Liechtenstein
Kategorija:Audumi	Categoría:Tejidos
Kategorija:477. gads	Categoría:477
Kategorija:Topošas datorspēles	Categoría:Videojuegos en desarrollo
Kategorija:485. gads	Categoría:485
Kategorija:Atceltas datorspēles	Categoría:Videojuegos cancelados
Kategorija:Kaķu dzimta	Categoría:Felidae
Kategorija:Piedzīvojumu datorspēles	Categoría:Videojuegos de aventura
Kategorija:Goda tituli	Categoría:Títulos honorarios
Kategorija:Kikbokss	Categoría:Kickboxing
Kategorija:Likteņa dievi	Categoría:Dioses de la fortuna
Kategorija:Autoimūnas slimības	Categoría:Enfermedades autoinmunitarias
Kategorija:Sirds un asinsvadu slimības	Categoría:Enfermedades vasculares
Vikipēdija:Izmeklēti notikumi/16. februāris	Plantilla:Efemérides - 16 de febrero
Kategorija:644. gads	Categoría:644
Vikipēdija:Izmeklēti notikumi/25. augusts	Plantilla:Efemérides - 25 de agosto
Vikipēdija:Izmeklēti notikumi/25. maijs	Plantilla:Efemérides - 25 de mayo
Kategorija:656. gads	Categoría:656
Kategorija:661. gads	Categoría:661
Kategorija:Lietuviešu rakstnieki	Categoría:Escritores de Lituania
Kategorija:Polijas rakstnieki	Categoría:Escritores de Polonia
Kategorija:Krievijas rakstnieki	Categoría:Escritores de Rusia
Kategorija:Romiešu rakstnieki	Categoría:Escritores de la Antigua Roma
Kategorija:Šveiciešu rakstnieki	Categoría:Escritores de Suiza
Kategorija:Zviedru rakstnieki	Categoría:Escritores de Suecia
Kategorija:ASV basketbola klubi	Categoría:Clubes de baloncesto de Estados Unidos
Kategorija:Kanādas basketbola klubi	Categoría:Clubes de baloncesto de Canadá
Kategorija:Spāņu rakstnieki	Categoría:Escritores de España
Kategorija:Čehijas rakstnieki	Categoría:Escritores de la República Checa
Veidne:Operacija	Plantilla:Campaña militar
Kategorija:Amerikāņu rakstnieki	Categoría:Escritores de Estados Unidos
Kategorija:Rakstnieki pēc literatūras virziena	Categoría:Escritores por género
Kategorija:Dramaturgi	Categoría:Dramaturgos
Kategorija:762. gads	Categoría:762
Kategorija:768. gads	Categoría:768
Kategorija:Futbola klubi pēc valsts	Categoría:Equipos de fútbol por país
Veidne:Pirmais pasaules karš	Plantilla:Campaña Primera Guerra Mundial
Kategorija:Latvijas futbola klubi	Categoría:Equipos de fútbol de Letonia
Kategorija:839. gadā mirušie	Categoría:Fallecidos en 839
Kategorija:Cietokšņi un forti	Categoría:Fortalezas
Kategorija:AS Roma	Categoría:Associazione Sportiva Roma
Kategorija:Microsoft operētājsistēmas	Categoría:Sistemas operativos de Microsoft
Kategorija:Smagā metāla žanri	Categoría:Subgéneros del metal
Kategorija:Angolas upes	Categoría:Ríos de Angola
Kategorija:Etiopijas upes	Categoría:Ríos de Etiopía
Kategorija:Kongo Republikas upes	Categoría:Ríos de la República del Congo
Kategorija:Kongo Demokrātiskās Republikas upes	Categoría:Ríos de la República Democrática del Congo
Kategorija:Balss tipi	Categoría:Voces según registro
Kategorija:958. gads	Categoría:958
Kategorija:Izmirušās sugas	Categoría:Especies extintas
Veidne:Round8ar3v	Plantilla:Copa de 8 equipos-1 ronda con tercero
Veidne:Round8	Plantilla:Copa de 8 equipos-1 ronda
Kategorija:Semiotika	Categoría:Semiótica
Kategorija:Otrā pasaules kara ieroči	Categoría:Armamento de la Segunda Guerra Mundial
Kategorija:Oslo	Categoría:Oslo
Kategorija:Umbrija	Categoría:Umbría
Kategorija:1034. gadā mirušie	Categoría:Fallecidos en 1034
Kategorija:1263. gads	Categoría:1263
Kategorija:1066. gads	Categoría:1066
Kategorija:1066. gadā mirušie	Categoría:Fallecidos en 1066
Veidne:Familytree/step2	Plantilla:Árbol genealógico/step2
Kategorija:1082. gadā mirušie	Categoría:Fallecidos en 1082
Kategorija:1090. gads	Categoría:1090
Kategorija:1099. gads	Categoría:1099
Kategorija:S.S. Lazio	Categoría:Società Sportiva Lazio
Kategorija:1111. gads	Categoría:1111
Kategorija:1115. gads	Categoría:1115
Kategorija:1126. gads	Categoría:1126
Kategorija:Dramaturgi pēc valsts	Categoría:Dramaturgos por país
Kategorija:Abstraktā algebra	Categoría:Álgebra abstracta
Kategorija:Galisijas provinces	Categoría:Provincias de Galicia
Kategorija:Vācijas arhitekti	Categoría:Arquitectos de Alemania
Veidne:CHN	Plantilla:CHN
Kategorija:Arhitekti	Categoría:Arquitectos
Kategorija:Beļģu arhitekti	Categoría:Arquitectos de Bélgica
Kategorija:Friuli-Venēcija Džūlijas provinces	Categoría:Provincias de Friuli-Venecia Julia
Kategorija:Austrijas arhitekti	Categoría:Arquitectos de Austria
Kategorija:Franču arhitekti	Categoría:Arquitectos de Francia
Kategorija:Spānijas arhitekti	Categoría:Arquitectos de España
Kategorija:ASV arhitekti	Categoría:Arquitectos de Estados Unidos
Kategorija:1928. gadā mirušie	Categoría:Fallecidos en 1928
Kategorija:1937. gadā mirušie	Categoría:Fallecidos en 1937
Kategorija:1950. gadā mirušie	Categoría:Fallecidos en 1950
Kategorija:1230. gadā mirušie	Categoría:Fallecidos en 1230
Kategorija:1241. gadā mirušie	Categoría:Fallecidos en 1241
Kategorija:1268. gads	Categoría:1268
Kategorija:Angola	Categoría:Angola
Kategorija:Benina	Categoría:Benín
Kategorija:Botsvana	Categoría:Botsuana
Kategorija:Burkinafaso	Categoría:Burkina Faso
Kategorija:Burundi	Categoría:Burundi
Kategorija:Džibutija	Categoría:Yibuti
Kategorija:Kotdivuāra	Categoría:Costa de Marfil
Kategorija:1310. gads	Categoría:1310
Kategorija:Ekvatoriālā Gvineja	Categoría:Guinea Ecuatorial
Kategorija:Izdomāti dzīvnieki	Categoría:Animales de ficción
Kategorija:1337. gadā mirušie	Categoría:Fallecidos en 1337
Kategorija:Eritreja	Categoría:Eritrea
Kategorija:Gabona	Categoría:Gabón
Kategorija:Gambija	Categoría:Gambia
Kategorija:1366. gadā mirušie	Categoría:Fallecidos en 1366
Kategorija:Gvineja	Categoría:Guinea
Kategorija:Gvineja-Bisava	Categoría:Guinea-Bisáu
Kategorija:Kamerūna	Categoría:Camerún
Kategorija:1382. gads	Categoría:1382
Kategorija:1391. gads	Categoría:1391
Kategorija:Kaboverde	Categoría:Cabo Verde
Kategorija:1395. gads	Categoría:1395
Kategorija:Kenija	Categoría:Kenia
Kategorija:Komoras	Categoría:Comoras
Kategorija:Libērija	Categoría:Liberia
Kategorija:Lībija	Categoría:Libia
Kategorija:Madagaskara	Categoría:Madagascar
Kategorija:Varšava	Categoría:Varsovia
Kategorija:Malāvija	Categoría:Malaui
Kategorija:Reformācija	Categoría:Reforma Protestante
Kategorija:Mali	Categoría:Malí
Kategorija:Maroka	Categoría:Marruecos
Kategorija:Vietas Kanādā UNESCO Pasaules mantojuma sarakstā	Categoría:Patrimonio de la Humanidad en Canadá
Kategorija:Mauritānija	Categoría:Mauritania
Kategorija:Maurīcija	Categoría:Mauricio
Kategorija:1451. gads	Categoría:1451
Kategorija:Mozambika	Categoría:Mozambique
Kategorija:Namībija	Categoría:Namibia
Kategorija:Nigēra	Categoría:Níger
Kategorija:Kongo Republika	Categoría:República del Congo
Krievu—turku kari	Guerra ruso-turca
Kategorija:Ruanda	Categoría:Ruanda
Kategorija:1480. gads	Categoría:1480
Kategorija:Bijušās impērijas	Categoría:Antiguos imperios
Kategorija:Emīlija-Romanja	Categoría:Emilia-Romaña
Kategorija:1486. gads	Categoría:1486
Kategorija:1512. gadā mirušie	Categoría:Fallecidos en 1512
Kategorija:1516. gadā mirušie	Categoría:Fallecidos en 1516
Kategorija:Polijas sabiedrība	Categoría:Sociedad de Polonia
Kategorija:Lielbritānijas izlūkošanas dienesti	Categoría:Servicios de inteligencia del Reino Unido
Kategorija:1569. gadā mirušie	Categoría:Fallecidos en 1569
Kategorija:1576. gadā mirušie	Categoría:Fallecidos en 1576
Kategorija:1587. gads	Categoría:1587
Kategorija:1587. gadā mirušie	Categoría:Fallecidos en 1587
Kategorija:1589. gads	Categoría:1589
Kategorija:1595. gadā mirušie	Categoría:Fallecidos en 1595
Kategorija:Polijas ekonomika	Categoría:Economía de Polonia
Kategorija:1597. gadā mirušie	Categoría:Fallecidos en 1597
Kategorija:1599. gads	Categoría:1599
Kategorija:1602. gads	Categoría:1602
Kategorija:Polijas uzņēmumi	Categoría:Empresas de Polonia
Kategorija:1602. gadā mirušie	Categoría:Fallecidos en 1602
Kategorija:1609. gads	Categoría:1609
Kategorija:1610. gads	Categoría:1610
Kategorija:1610. gadā mirušie	Categoría:Fallecidos en 1610
Kategorija:Transports Polijā	Categoría:Transporte de Polonia
Kategorija:1613. gads	Categoría:1613
Kategorija:1615. gadā mirušie	Categoría:Fallecidos en 1615
Kategorija:Kolumbijas ekonomika	Categoría:Economía de Colombia
Kategorija:Polijas ģeogrāfija	Categoría:Geografía de Polonia
Kategorija:Polijas vēsture	Categoría:Historia de Polonia
Kategorija:1637. gadā mirušie	Categoría:Fallecidos en 1637
Kategorija:Polijas māksla	Categoría:Arte de Polonia
Kategorija:Polijas mūzika	Categoría:Música de Polonia
Kategorija:Uzbekistānas pilsētas	Categoría:Localidades de Uzbekistán
Kategorija:Islāma reliģiskie svētki	Categoría:Festividades islámicas
Kategorija:1666. gads	Categoría:1666
Kategorija:1672. gadā mirušie	Categoría:Fallecidos en 1672
Kategorija:1674. gads	Categoría:1674
Kategorija:Polijas politika	Categoría:Política de Polonia
Kategorija:Polijas politiķi	Categoría:Políticos de Polonia
AMOS-4	AMOS 4
Kategorija:Sakari pēc valsts	Categoría:Comunicaciones por país
Kategorija:Adrijas jūra	Categoría:Mar Adriático
Kategorija:Karību jūra	Categoría:Mar Caribe
Kategorija:Demogrāfija pēc valsts	Categoría:Demografía por país
Kategorija:Britu salas	Categoría:Islas británicas
Kategorija:Apbalvojumi sportā	Categoría:Premios y trofeos deportivos
Kategorija:Līgumi ar Poliju	Categoría:Tratados de Polonia
Kategorija:Polijas upes	Categoría:Ríos de Polonia
Kategorija:Krievu-osmaņu kari	Categoría:Guerras ruso-turcas
Kategorija:Polijas ezeri	Categoría:Lagos de Polonia
Kategorija:Polijas administratīvais iedalījums	Categoría:Organización territorial de Polonia
Kategorija:Meksikas fauna	Categoría:Fauna de México
Kategorija:Reliģija Polijā	Categoría:Religión en Polonia
Kategorija:Kvartārs	Categoría:Cuaternario
Kategorija:Sports Slovākijā	Categoría:Deporte en Eslovaquia
Veidne:ENG	Plantilla:ENG
Kategorija:2011. gadā mirušie	Categoría:Fallecidos en 2011
Kategorija:Delavēra	Categoría:Delaware
Kategorija:Džordžija	Categoría:Georgia (Estados Unidos)
Kategorija:Poļu valoda	Categoría:Idioma polaco
Kategorija:Montāna	Categoría:Montana
Kategorija:Enerģētika Somijā	Categoría:Energía de Finlandia
Kategorija:Aviācija Sudānā	Categoría:Aviación de Sudán
Kategorija:Itāliešu dziedātāji	Categoría:Cantantes de Italia
Kategorija:2010. gads Latvijā	Categoría:Letonia en 2010
Kategorija:Ungārijas politika	Categoría:Política de Hungría
Kategorija:Minesotā dzimušie	Categoría:Minesotanos
Veidne:Apvienot	Plantilla:Fusionar
Kategorija:Maurīcijas valodas	Categoría:Lenguas de Mauricio
Kategorija:Tiesību zinātne	Categoría:Jurisprudencia
Veidne:8TeamBracket-Tennis5	Plantilla:Eliminatoria de 8-3 sets
Kategorija:Apvienotās Karalistes māksla	Categoría:Arte de Reino Unido
Kategorija:Administratīvās tiesības	Categoría:Derecho administrativo
Kategorija:Tenesī	Categoría:Tennessee
Kategorija:Tieslietas pēc gada	Categoría:Leyes por año
Kategorija:2012. gads tieslietās	Categoría:Leyes de 2012
Hodsona kalns	Monte Hodson
Veidne:IRQ	Plantilla:IRQ
Kategorija:Greznumlietu zīmoli	Categoría:Marcas de lujo
Kategorija:Anžū dinastija	Categoría:Casa de Anjou
Kategorija:Hesenes pilsētas	Categoría:Localidades de Hesse
Kategorija:316. gads	Categoría:316
Veidne:Atsauce	Plantilla:Obra citada
Kategorija:ASV atkarīgās teritorijas	Categoría:Áreas insulares de Estados Unidos
Kategorija:Militārā mūzika	Categoría:Música militar
Kategorija:957. gads	Categoría:957
Kategorija:1029. gads	Categoría:1029
Kategorija:Transports Francijā	Categoría:Transporte de Francia
Kategorija:1503. gadā mirušie	Categoría:Fallecidos en 1503
Kategorija:Skulptūras	Categoría:Esculturas
Kategorija:1541. gadā mirušie	Categoría:Fallecidos en 1541
Kategorija:1546. gadā mirušie	Categoría:Fallecidos en 1546
Kategorija:1713. gads	Categoría:1713
Kategorija:1724. gads	Categoría:1724
Kategorija:1728. gads	Categoría:1728
Kategorija:1731. gads	Categoría:1731
Kategorija:1732. gads	Categoría:1732
Kategorija:1733. gads	Categoría:1733
Kategorija:1738. gads	Categoría:1738
Kategorija:1740. gads	Categoría:1740
Kategorija:1740. gadā mirušie	Categoría:Fallecidos en 1740
Kategorija:1741. gads	Categoría:1741
Kategorija:1743. gads	Categoría:1743
Kategorija:1747. gads	Categoría:1747
Kategorija:1748. gads	Categoría:1748
Kategorija:1749. gads	Categoría:1749
Kategorija:1750. gads	Categoría:1750
Kategorija:1750. gadā mirušie	Categoría:Fallecidos en 1750
Kategorija:1752. gads	Categoría:1752
Kategorija:1753. gads	Categoría:1753
Kategorija:1754. gads	Categoría:1754
Kategorija:1755. gads	Categoría:1755
Kategorija:1756. gads	Categoría:1756
Kategorija:1757. gads	Categoría:1757
Kategorija:1758. gads	Categoría:1758
Kategorija:1759. gads	Categoría:1759
Kategorija:1760. gads	Categoría:1760
Kategorija:1761. gads	Categoría:1761
Kategorija:1762. gads	Categoría:1762
Kategorija:1763. gads	Categoría:1763
Kategorija:1763. gadā mirušie	Categoría:Fallecidos en 1763
Kategorija:1765. gadā mirušie	Categoría:Fallecidos en 1765
Kategorija:354. gadā p.m.ē. mirušie	Categoría:Fallecidos en 354 a. C.
Kategorija:1766. gadā mirušie	Categoría:Fallecidos en 1766
Kategorija:1768. gads	Categoría:1768
Kategorija:1770. gads	Categoría:1770
Kategorija:1772. gads	Categoría:1772
Kategorija:1773. gads	Categoría:1773
Kategorija:1774. gads	Categoría:1774
Kategorija:1774. gadā mirušie	Categoría:Fallecidos en 1774
Kategorija:1776. gads	Categoría:1776
Kategorija:1777. gads	Categoría:1777
Kategorija:1779. gadā mirušie	Categoría:Fallecidos en 1779
Kategorija:1781. gads	Categoría:1781
Kategorija:1782. gads	Categoría:1782
Kategorija:1783. gads	Categoría:1783
Kategorija:1784. gads	Categoría:1784
Kategorija:1786. gads	Categoría:1786
Kategorija:1788. gads	Categoría:1788
Kategorija:1790. gads	Categoría:1790
Kategorija:1791. gads	Categoría:1791
Kategorija:1791. gadā mirušie	Categoría:Fallecidos en 1791
Kategorija:1792. gads	Categoría:1792
Kategorija:1792. gadā mirušie	Categoría:Fallecidos en 1792
Kategorija:1794. gads	Categoría:1794
Kategorija:1795. gads	Categoría:1795
Kategorija:1796. gadā mirušie	Categoría:Fallecidos en 1796
Kategorija:1797. gadā mirušie	Categoría:Fallecidos en 1797
Kategorija:1798. gads	Categoría:1798
Kategorija:1799. gads	Categoría:1799
Kategorija:1800. gads	Categoría:1800
Kategorija:1800. gadā mirušie	Categoría:Fallecidos en 1800
Kategorija:1801. gads	Categoría:1801
Kategorija:1802. gads	Categoría:1802
Kategorija:1802. gadā dzimušie	Categoría:Nacidos en 1802
Kategorija:1803. gads	Categoría:1803
Kategorija:Kino virzieni	Categoría:Corrientes cinematográficas
Kategorija:1803. gadā mirušie	Categoría:Fallecidos en 1803
Kategorija:1804. gads	Categoría:1804
Kategorija:1804. gadā mirušie	Categoría:Fallecidos en 1804
Kategorija:1805. gads	Categoría:1805
Kategorija:1805. gadā mirušie	Categoría:Fallecidos en 1805
Kategorija:1806. gads	Categoría:1806
Kategorija:Bādene-Virtemberga	Categoría:Baden-Wurtemberg
Kategorija:1806. gadā mirušie	Categoría:Fallecidos en 1806
Kategorija:1807. gads	Categoría:1807
Kategorija:1808. gadā mirušie	Categoría:Fallecidos en 1808
Kategorija:1809. gads	Categoría:1809
Kategorija:1810. gads	Categoría:1810
Kategorija:1810. gadā mirušie	Categoría:Fallecidos en 1810
Kategorija:Bazilikata	Categoría:Basilicata
Kategorija:1811. gads	Categoría:1811
Kategorija:1811. gadā dzimušie	Categoría:Nacidos en 1811
Kategorija:1812. gadā mirušie	Categoría:Fallecidos en 1812
Kategorija:1813. gads	Categoría:1813
Kategorija:1813. gadā mirušie	Categoría:Fallecidos en 1813
Kategorija:1814. gads	Categoría:1814
Kategorija:1814. gadā mirušie	Categoría:Fallecidos en 1814
Kategorija:1815. gads	Categoría:1815
Kategorija:1815. gadā mirušie	Categoría:Fallecidos en 1815
Kategorija:1816. gads	Categoría:1816
Kategorija:1816. gadā mirušie	Categoría:Fallecidos en 1816
Kategorija:1817. gadā mirušie	Categoría:Fallecidos en 1817
Kategorija:1818. gads	Categoría:1818
Kategorija:1818. gadā mirušie	Categoría:Fallecidos en 1818
Kategorija:1819. gads	Categoría:1819
Kategorija:1819. gadā mirušie	Categoría:Fallecidos en 1819
Kategorija:1820. gads	Categoría:1820
Kategorija:1820. gadā mirušie	Categoría:Fallecidos en 1820
Kategorija:1821. gadā mirušie	Categoría:Fallecidos en 1821
Kategorija:1823. gads	Categoría:1823
Kategorija:1824. gadā mirušie	Categoría:Fallecidos en 1824
Kategorija:1825. gadā mirušie	Categoría:Fallecidos en 1825
Kategorija:1827. gads	Categoría:1827
Kategorija:1828. gadā mirušie	Categoría:Fallecidos en 1828
Kategorija:1830. gads	Categoría:1830
Kategorija:1831. gadā mirušie	Categoría:Fallecidos en 1831
Kategorija:1832. gadā mirušie	Categoría:Fallecidos en 1832
Kategorija:Austrālijas ezeri	Categoría:Lagos de Australia
Kategorija:1833. gadā mirušie	Categoría:Fallecidos en 1833
Kategorija:1834. gads	Categoría:1834
Kategorija:1834. gadā mirušie	Categoría:Fallecidos en 1834
Kategorija:1835. gads	Categoría:1835
Kategorija:Ķīnas ezeri	Categoría:Lagos de China
Kategorija:1836. gads	Categoría:1836
Kategorija:1836. gadā mirušie	Categoría:Fallecidos en 1836
Kategorija:1837. gadā mirušie	Categoría:Fallecidos en 1837
Kategorija:ASV ezeri	Categoría:Lagos de Estados Unidos
Kategorija:1838. gads	Categoría:1838
Kategorija:1838. gadā mirušie	Categoría:Fallecidos en 1838
Kategorija:1839. gads	Categoría:1839
Kategorija:1840. gads	Categoría:1840
