افريقا	África
د وينې رېفرانسي حدود	Anexo:Rangos de referencia para exámenes de sangre comunes
ويکيپېډيا:د نن ورځې انځور	Wikipedia:Candidatos a recursos destacados
وېشنيزه:هېوادونه	Categoría:Países
وېشنيزه:وټپوهنه	Categoría:Economía
ويکيپېډيا:پازوالان	Wikipedia:Bibliotecarios
ويکيپېډيا:روباټان	Wikipedia:Bot
وېشنيزه:وخت	Categoría:Tiempo
وېشنيزه:انټرنټ	Categoría:Internet
وېشنيزه:پیسې	Categoría:Dinero
وېشنيزه:بوټپوهنه	Categoría:Botánica
وېشنيزه:اناتومي	Categoría:Anatomía
وېشنيزه:طب	Categoría:Medicina
وېشنيزه:سياست	Categoría:Política
گڼنه	Contabilidad
مصر	Egipto
اسلامي نظام	Estado islámico
وېشنيزه:فيلسوفان	Categoría:Filósofos
کينډۍ:Bot	Plantilla:Bot
خپگان	Depresión
کاناډا	Canadá
وېشنيزه:هنګري	Categoría:Hungría
وېشنيزه:چېک جمهوريت	Categoría:República Checa
وېشنيزه:سلواکيا	Categoría:Eslovaquia
غلام فاروق يعقوبي	Ghulam Faruq Yaqubi
ويکيپېډيا:نيوليک	Wikipedia:Contenidos
غوښتنه (وټپوهنه)	Demanda (economía)
اکدي واکمنۍ	Imperio acadio
وېشنيزه:مايکروسافټ	Categoría:Microsoft
تانبه:پوهنه	Portal:Ciencias naturales y formales
کينډۍ:Flagicon	Plantilla:Bandera
وېشنيزه:د اروپا هېوادونه	Categoría:Países de Europa
وېشنيزه:اروپا	Categoría:Europa
تانبه:تازه پېښې	Portal:Actualidad
کينډۍ:لاسوند	Plantilla:Documentación
ويکيپېډيا:د ټولنې تانبه	Portal:Comunidad
وېشنيزه:User languages	Categoría:Wikipedia:Wikipedistas por idioma
ويکيپېډيا:کارن-نوم	Wikipedia:Nombres de usuario
عايشه بنت ابي بکر	Aisha bint Abi Bakr
ارسلا جمال	Arsala Jamal
سوداگري	Negocio
تانبه:ټکنالوجي	Portal:Tecnología
کينډۍ:Softredirect	Plantilla:Redirección suave
کينډۍ:ړنگول	Plantilla:Destruir
ليکبڼه	Tipo de letra
وېشنيزه:ژبې	Categoría:Lenguas
ويکيپېډيا:General disclaimer	Wikipedia:Limitación general de responsabilidad
کينډۍ:Navbox	Plantilla:Navegación
ويکيپېډيا:Shortcut	Plantilla:Atajos
وېشنيزه:د ایران ښارونه	Categoría:Localidades de Irán
خيميران	Chimaeriformes
کينډۍ:Citation needed	Plantilla:Cita requerida
تانبه:ژوندليکونه	Portal:Biografías
کينډۍ:!	Plantilla:!
کينډۍ:Tnavbar	Plantilla:Navbar
ايمان	Fe
کينډۍ:Clear	Plantilla:Clear
کينډۍ:Anchor	Plantilla:Ancla
کينډۍ:Babel	Plantilla:Babel
کينډۍ:Commons	Plantilla:Commons
کينډۍ:لړسرچينې	Plantilla:Listaref
کينډۍ:AFG	Plantilla:AFG
کينډۍ:نابشپړ	Plantilla:Esbozo
وېشنيزه:افغاني هڅوب	Categoría:Cultura de Afganistán
وېشنيزه:امريکايي لرغونپوهان	Categoría:Arqueólogos de Estados Unidos
کينډۍ:د هېواد مالومات تاجکستان	Plantilla:Geodatos Tayikistán
وېشنيزه:آسيا	Categoría:Asia
کينډۍ:Esoteric	Plantilla:Plantilla compleja
کينډۍ:د هېواد مالومات کویټ	Plantilla:Geodatos Kuwait
کينډۍ:ISO639-3Documentation	Plantilla:Doc ISO3
کينډۍ:د هېواد مالومات بلجيم	Plantilla:Geodatos Bélgica
کينډۍ:د هېواد مالومات سلواکيا	Plantilla:Geodatos Eslovaquia
کينډۍ:د هېواد مالومات اېل سلوادور	Plantilla:Geodatos El Salvador
کينډۍ:د هېواد مالومات پاناما	Plantilla:Geodatos Panamá
کينډۍ:د هېواد مالومات اېکوادور	Plantilla:Geodatos Ecuador
کينډۍ:د هېواد مالومات اېتوپيا	Plantilla:Geodatos Etiopía
کينډۍ:د هېواد مالومات تونېسيا	Plantilla:Geodatos Túnez
کينډۍ:د هېواد مالومات د چېک جمهوريت	Plantilla:Geodatos República Checa
کينډۍ:د هېواد مالومات تايلنډ	Plantilla:Geodatos Tailandia
کينډۍ:د هېواد مالومات کيوبا	Plantilla:Geodatos Cuba
کينډۍ:د هېواد مالومات اندونېزيا	Plantilla:Geodatos Indonesia
کينډۍ:د هېواد مالومات کمبوډيا	Plantilla:Geodatos Camboya
کينډۍ:د هېواد مالومات سېنېگال	Plantilla:Geodatos Senegal
کينډۍ:د هېواد مالومات ماداګاسکر	Plantilla:Geodatos Madagascar
کينډۍ:د هېواد مالومات البانيا	Plantilla:Geodatos Albania
وېشنيزه:درملپوهنه	Categoría:Farmacología
کينډۍ:د هېواد مالومات پېرو	Plantilla:Geodatos Perú
کينډۍ:د هېواد مالومات پاراګوای	Plantilla:Geodatos Paraguay
کينډۍ:د هېواد مالومات کېنيا	Plantilla:Geodatos Kenia
کينډۍ:د هېواد مالومات نيکاراګوا	Plantilla:Geodatos Nicaragua
کينډۍ:د هېواد مالومات هندوراس	Plantilla:Geodatos Honduras
کينډۍ:د هېواد مالومات ازبکستان	Plantilla:Geodatos Uzbekistán
کينډۍ:د هېواد مالومات بولېويا	Plantilla:Geodatos Bolivia
کينډۍ:د هېواد مالومات د ډومينيکان جمهوريت	Plantilla:Geodatos República Dominicana
کينډۍ:د هېواد مالومات توگو	Plantilla:Geodatos Togo
کينډۍ:د هېواد مالومات ګواتمالا	Plantilla:Geodatos Guatemala
وېشنيزه:ژبپوهنه	Categoría:Lingüística
کينډۍ:د هېواد مالومات هايېتي	Plantilla:Geodatos Haití
کينډۍ:د هېواد مالومات مالي	Plantilla:Geodatos Malí
کينډۍ:د هېواد مالومات مولدووا	Plantilla:Geodatos Moldavia
کينډۍ:د هېواد مالومات لاتويا	Plantilla:Geodatos Letonia
کينډۍ:د هېواد مالومات مالټا	Plantilla:Geodatos Malta
کينډۍ:د هېواد مالومات ډېنمارک	Plantilla:Geodatos Dinamarca
کينډۍ:د هېواد مالومات آيسلېنډ	Plantilla:Geodatos Islandia
کينډۍ:د هېواد مالومات پولنډ	Plantilla:Geodatos Polonia
کينډۍ:د هېواد مالومات کېپ وردا	Plantilla:Geodatos Cabo Verde
کينډۍ:د هېواد مالومات بلغاريه	Plantilla:Geodatos Bulgaria
کينډۍ:د هېواد مالومات بوسنيا او هېرزگوينا	Plantilla:Geodatos Bosnia y Herzegovina
کينډۍ:د هېواد مالومات ګايانا	Plantilla:Geodatos Guyana
کينډۍ:د هېواد مالومات ناروې	Plantilla:Geodatos Noruega
کينډۍ:د هېواد مالومات سوېلي افريقا	Plantilla:Geodatos Sudáfrica
کينډۍ:د هېواد مالومات جمايکا	Plantilla:Geodatos Jamaica
کينډۍ:د هېواد مالومات ګورجستان	Plantilla:Geodatos Georgia
کينډۍ:د هېواد مالومات ارجنټاين	Plantilla:Geodatos Argentina
کينډۍ:د هېواد مالومات يوروګوای	Plantilla:Geodatos Uruguay
کينډۍ:Country showdata	Plantilla:Mostrar geodatos
کينډۍ:د هېواد مالومات ټرېنېډاډ او توباګو	Plantilla:Geodatos Trinidad y Tobago
کينډۍ:د انځور نښه	Plantilla:Etiqueta imagen
کينډۍ:د هېواد مالومات برونای	Plantilla:Geodatos Brunéi
کينډۍ:د هېواد مالومات سريلانکا	Plantilla:Geodatos Sri Lanka
کينډۍ:د هېواد مالومات مکسيکو	Plantilla:Geodatos México
کينډۍ:د هېواد مالومات یونان	Plantilla:Geodatos Grecia
کينډۍ:د هېواد مالومات لوکسېمبورگ	Plantilla:Geodatos Luxemburgo
کينډۍ:د هېواد مالومات سعودي عربستان	Plantilla:Geodatos Arabia Saudita
کينډۍ:د هېواد مالومات بهاماس	Plantilla:Geodatos Bahamas
کينډۍ:د هېواد مالومات کرواتيا	Plantilla:Geodatos Croacia
کينډۍ:د هېواد مالومات عراق	Plantilla:Geodatos Irak
کينډۍ:ليکوال-مالوماتبکس/لاسوند	Plantilla:Ficha de escritor
کينډۍ:د هېواد مالومات متحده عرب امارات	Plantilla:Geodatos Emiratos Árabes Unidos
کينډۍ:د هېواد مالومات ماروکو	Plantilla:Geodatos Marruecos
کينډۍ:د هېواد مالومات سربيا	Plantilla:Geodatos Serbia
کينډۍ:د هېواد مالومات آسټراليا	Plantilla:Geodatos Australia
کينډۍ:د هېواد مالومات فرانسه	Plantilla:Geodatos Francia
کينډۍ:Ambox	Plantilla:Metaplantilla de avisos
کينډۍ:DorlandsDict	Plantilla:DorlandsDict
کينډۍ:دکارنبکس-بېخ	Usuario:Userbox/Userboxbottom
کينډۍ:هېواد-مالوماتبکس	Plantilla:Ficha de país
کينډۍ:د هېواد مالومات لاووس	Plantilla:Geodatos Laos
کينډۍ:د هېواد مالومات اتريش	Plantilla:Geodatos Austria
کينډۍ:د هېواد مالومات نيپال	Plantilla:Geodatos Nepal
کينډۍ:ترسره شو	Plantilla:Hecho
کينډۍ:د هېواد مالومات فېنلاند	Plantilla:Geodatos Finlandia
کينډۍ:Audio	Plantilla:Audio
کينډۍ:د هېواد مالومات مصر	Plantilla:Geodatos Egipto
کينډۍ:د هېواد مالومات لېتوانيا	Plantilla:Geodatos Lituania
ويکيپېډيا:ځان زده کړه (د ويکيپېډيا تړنې)	Ayuda:Tutorial (enlaces internos)
کينډۍ:د هېواد مالومات جاپان	Plantilla:Geodatos Japón
کينډۍ:د هېواد مالومات نېدرلنډ	Plantilla:Geodatos Países Bajos
کينډۍ:Start box	Plantilla:S-inicio
کينډۍ:ساينسپوه-مالوماتبکس	Plantilla:Ficha de científico
کينډۍ:پوهنتون مالوماتبکس/لاسوند	Plantilla:Ficha de universidad
کينډۍ:د هېواد مالومات آذربايجان	Plantilla:Geodatos Azerbaiyán
کينډۍ:د فايرفاکس کارن	Usuario:Userbox/Usuario Firefox
کينډۍ:Ar	Plantilla:Lang-ar
کينډۍ:د هېواد مالومات وېتنام	Plantilla:Geodatos Vietnam
کينډۍ:Featured article	Plantilla:Artículo destacado
کينډۍ:د هېواد مالومات لېبيا	Plantilla:Geodatos Libia
کينډۍ:د هېواد مالومات روسیه	Plantilla:Geodatos Rusia
وېشنيزه:User en	Categoría:Wikipedia:Wikipedistas con conocimientos de inglés
وېشنيزه:User en-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de inglés
کينډۍ:مالوماتبکس	Plantilla:Ficha
کينډۍ:Navy	Plantilla:Naval
کينډۍ:د هېواد مالومات اېکواټوريال گوينا	Plantilla:Geodatos Guinea Ecuatorial
کينډۍ:Colorbox	Plantilla:Cuadro color
وېشنيزه:دوتر توکي	Categoría:Material de oficina
کينډۍ:د هېواد مالومات اټاليا	Plantilla:Geodatos Italia
کينډۍ:د المان ايالتي نقشه	Plantilla:Mapa de los estados alemanes
کينډۍ:د هېواد مالومات سويډن	Plantilla:Geodatos Suecia
وېشنيزه:کرهڼه	Categoría:Agricultura
کينډۍ:نغا	Plantilla:AFI
وېشنيزه:سياستوال	Categoría:Políticos
وېشنيزه:لمريز نظام	Categoría:Planetas del Sistema Solar
وېشنيزه:امريکا	Categoría:América
کينډۍ:د هېواد مالومات کوسټاريکا	Plantilla:Geodatos Costa Rica
کينډۍ:د هېواد مالومات هند	Plantilla:Geodatos India
کينډۍ:د هېواد مالومات الجېريا	Plantilla:Geodatos Argelia
کينډۍ:د هېواد مالومات وېنېزوېلا	Plantilla:Geodatos Venezuela
کينډۍ:د هېواد مالومات فيجي	Plantilla:Geodatos Fiyi
کينډۍ:Infobox Officeholder	Plantilla:Ficha de autoridad
کينډۍ:د هېواد مالومات انډورا	Plantilla:Geodatos Andorra
کينډۍ:د هېواد مالومات آنگولا	Plantilla:Geodatos Angola
کينډۍ:د هېواد مالومات بوټسوانا	Plantilla:Geodatos Botsuana
کينډۍ:د هېواد مالومات اروپايي اتحاديه	Plantilla:Geodatos Unión Europea
کينډۍ:Border	Plantilla:Borde
کينډۍ:د هېواد مالومات ډومنيکا	Plantilla:Geodatos Dominica
کينډۍ:د هېواد مالومات پارتوګال	Plantilla:Geodatos Portugal
کينډۍ:د هېواد مالومات آيرلېنډ	Plantilla:Geodatos Irlanda
کينډۍ:د هېواد مالومات واټيکان ښار	Plantilla:Geodatos Ciudad del Vaticano
کينډۍ:د هېواد مالومات چین	Plantilla:Geodatos China
کينډۍ:د هېواد مالومات بېنين	Plantilla:Geodatos Benín
کينډۍ:د هېواد مالومات د کانگو جمهوريت	Plantilla:Geodatos República del Congo
کينډۍ:ويکيسازنه	Plantilla:Wikificar
کينډۍ:Familytree/end	Plantilla:Árbol genealógico/fin
کينډۍ:د هېواد مالومات ترکيه	Plantilla:Geodatos Turquía
وېشنيزه:ليکوال	Categoría:Escritores
کينډۍ:د هېواد مالومات قبرس	Plantilla:Geodatos Chipre
کينډۍ:د هېواد مالومات سويتزرلاند	Plantilla:Geodatos Suiza
کينډۍ:د هېواد مالومات فلېپين	Plantilla:Geodatos Filipinas
کينډۍ:د هېواد مالومات نايجېريا	Plantilla:Geodatos Nigeria
کينډۍ:د هېواد مالومات آيرلنډ	Plantilla:Geodatos Bielorrusia
کينډۍ:د هېواد مالومات مالېزيا	Plantilla:Geodatos Malasia
کينډۍ:د هېواد مالومات ارمنستان	Plantilla:Geodatos Armenia
کينډۍ:د هېواد مالومات زېمبابوې	Plantilla:Geodatos Zimbabue
کينډۍ:د هېواد مالومات ختيځ تېمور	Plantilla:Geodatos Timor Oriental
وېشنيزه:تومانچې	Categoría:Pistolas
کينډۍ:د هېواد مالومات قزاقستان	Plantilla:Geodatos Kazajistán
کينډۍ:د هېواد مالومات چېلي	Plantilla:Geodatos Chile
کينډۍ:د هېواد مالومات سلووېنيا	Plantilla:Geodatos Eslovenia
کينډۍ:د هېواد مالومات لبنان	Plantilla:Geodatos Líbano
کينډۍ:د کتاب مالوماتبکس-1	Plantilla:Ficha de libro
وېشنيزه:اسلامي وييپانګه	Categoría:Palabras y frases en árabe
کينډۍ:د هېواد مالومات بهوټان	Plantilla:Geodatos Bután
کينډۍ:Booland	Plantilla:Ambas
وېشنيزه:څارګرې ادارې	Categoría:Servicios de inteligencia
کينډۍ:لطفاً په دې مخ کې بدلون مه راولۍ	Ayuda:Introducción 2
کينډۍ:Lang-la	Plantilla:Lang-la
کينډۍ:Lang-el	Plantilla:Lang-el
د افغانستان د همبستگۍ گوند	Partido Solidario de Afganistán
وېشنيزه:اخلاق	Categoría:Ética
د سره صليب نړيواله ټولنه	Comité Internacional de la Cruz Roja
وېشنيزه:چاودېدونكى مواد	Categoría:Explosivos
کينډۍ:IPA-en	Plantilla:AFI-en
کينډۍ:Mergefrom	Plantilla:Fusionar desde
وېشنيزه:سولګر	Categoría:Computadoras
وېشنيزه:توکي	Categoría:Equipamiento
کينډۍ:مالوماتبکس لويه وچه	Plantilla:Ficha de territorio
وېشنيزه:پخوانی ژبې	Categoría:Lenguas muertas
وېشنيزه:User ja-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de japonés
تانبه:اسلام	Portal:Islam
کينډۍ:دشريان-مالوماتبکس	Plantilla:Ficha de arteria
کينډۍ:Polytonic	Plantilla:Polytonic
کينډۍ:تانبې گرځښتپټه	Plantilla:Portales de Wikipedia
کينډۍ:Familytree/start	Plantilla:Árbol genealógico/inicio
کينډۍ:نامبهمېدنه	Plantilla:Desambiguación
وېشنيزه:اسرائیلي جوماتونه	Categoría:Mezquitas en Israel
وېشنيزه:د ایران امپراتورۍ او پاچاهۍ	Categoría:Historia de Persia
وېشنيزه:پوځي الوتکې	Categoría:Aeronaves militares
کينډۍ:Lang-grc	Plantilla:Lang-grc
کينډۍ:د هېواد مالومات کوموروس	Plantilla:Geodatos Comoras
کينډۍ:Lang-pt	Plantilla:Lang-pt
کينډۍ:د هېواد مالومات قطر	Plantilla:Geodatos Catar
کينډۍ:FRA	Plantilla:FRA
کينډۍ:د هېواد مالومات اسرایل	Plantilla:Geodatos Israel
کينډۍ:د هېواد مالومات اوکراين	Plantilla:Geodatos Ucrania
کينډۍ:د هېواد مالومات کولمبيا	Plantilla:Geodatos Colombia
کينډۍ:د هېواد مالومات پاکستان	Plantilla:Geodatos Pakistán
کينډۍ:د هېواد مالومات ګانا	Plantilla:Geodatos Ghana
کينډۍ:د هېواد مالومات رومانیا	Plantilla:Geodatos Rumania
کينډۍ:د هېواد مالومات سوېلي کوريا	Plantilla:Geodatos Corea del Sur
کينډۍ:د لومړي مخ منځ-ويکي	Plantilla:Portada:Interwikis
کينډۍ:Npov	Plantilla:No neutralidad
کينډۍ:د هېواد مالومات بحرين	Plantilla:Geodatos Baréin
وېشنيزه:User ja	Categoría:Wikipedia:Wikipedistas con conocimientos de japonés
وېشنيزه:User ur	Categoría:Wikipedia:Wikipedistas con conocimientos de urdu
وېشنيزه:User ko-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de coreano
وېشنيزه:User ru-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de ruso
وېشنيزه:وختتېری	Categoría:Entretenimiento
وېشنيزه:افغاني ټولنه	Categoría:Sociedad de Afganistán
وېشنيزه:تاريخپوهان	Categoría:Historiadores
وېشنيزه:User de	Categoría:Wikipedia:Wikipedistas con conocimientos de alemán
وېشنيزه:User de-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de alemán
وېشنيزه:User en-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de inglés
وېشنيزه:User en-N	Categoría:Wikipedia:Wikipedistas con nivel nativo de inglés
آلو	Prunus subg. Prunus
کينډۍ:N/A	Plantilla:No anunciado
کينډۍ:د هېواد مالومات برونډي	Plantilla:Geodatos Burundi
کينډۍ:د هېواد مالومات جرمني	Plantilla:Geodatos Alemania
کينډۍ:د هېواد مالومات بريتانيه	Plantilla:Geodatos Reino Unido
وېشنيزه:مېچپوهنه	Categoría:Geometría
کينډۍ:د هېواد مالومات اېسټونيا	Plantilla:Geodatos Estonia
کينډۍ:د هېواد مالومات مانټېنېګرو	Plantilla:Geodatos Montenegro
کينډۍ:Weather box	Plantilla:Clima
وېشنيزه:هنرمندان	Categoría:Artistas
وېشنيزه:User ja-1	Categoría:Wikipedia:Wikipedistas con nivel básico de japonés
وېشنيزه:ژمنۍ لوبې	Categoría:Deportes de invierno
وېشنيزه:User ko	Categoría:Wikipedia:Wikipedistas con conocimientos de coreano
وېشنيزه:د امريکا د متحده ايالاتو ايالتونه	Categoría:Estados de Estados Unidos
وېشنيزه:بانکوالی	Categoría:Banca
کينډۍ:د هېواد مالومات د عاج ساحل	Plantilla:Geodatos Costa de Marfil
وېشنيزه:د ایران ولایتونه	Categoría:Provincias de Irán
وېشنيزه:User ru-1	Categoría:Wikipedia:Wikipedistas con nivel básico de ruso
اسلامي رخصتۍ	Días festivos musulmanes
وېشنيزه:مخدره مواد	Categoría:Drogas
وېشنيزه:اند	Categoría:Pensamiento
وېشنيزه:لمريز غونډال	Categoría:Sistema Solar
کينډۍ:د هېواد مالومات برازیل	Plantilla:Geodatos Brasil
وېشنيزه:مخترعين	Categoría:Inventores
وېشنيزه:سر او غاړه	Categoría:Cabeza
ډبرپوهنه	Litología
کينډۍ:د هېواد مالومات سوازيلاند	Plantilla:Geodatos Suazilandia
وېشنيزه:ژوپوهنه	Categoría:Zoología
وېشنيزه:د رضوي خراسان ولايت	Categoría:Jorasán Razaví
تانبه:دين	Portal:Religión
وېشنيزه:هلیکوپترونه	Categoría:Helicópteros
وېشنيزه:ټولنيزې پوهنې	Categoría:Ciencias sociales
کينډۍ:د هېواد مالومات هنګري	Plantilla:Geodatos Hungría
وېشنيزه:د آفریقاهیوادونه	Categoría:Países de África
وېشنيزه:د هخامنشیانو حکمرانان	Categoría:Imperio aqueménida
وېشنيزه:حزب الله	Categoría:Hezbolá
کينډۍ:د هېواد مالومات نيوزيلاند	Plantilla:Geodatos Nueva Zelanda
وېشنيزه:القاعده	Categoría:Al Qaeda
وېشنيزه:User ru	Categoría:Wikipedia:Wikipedistas con conocimientos de ruso
وېشنيزه:User ru-2	Categoría:Wikipedia:Wikipedistas con nivel intermedio de ruso
وېشنيزه:User ru-3	Categoría:Wikipedia:Wikipedistas con nivel avanzado de ruso
وېشنيزه:User ru-4	Categoría:Wikipedia:Wikipedistas con nivel experto de ruso
کينډۍ:Lang	Plantilla:Lang
کينډۍ:د هېواد مالومات د امريکا متحده ايالات	Plantilla:Geodatos Estados Unidos
کينډۍ:د هېواد مالومات ترکمنستان	Plantilla:Geodatos Turkmenistán
وېشنيزه:د ۱۹۵۷ کال زېږېدنې	Categoría:Nacidos en 1957
کينډۍ:د هېواد مالومات سهېلي کوريا	Plantilla:Geodatos Corea del Norte
کينډۍ:د هېواد مالومات افغانستان	Plantilla:Geodatos Afganistán
کينډۍ:د هېواد مالومات بنگله دېش	Plantilla:Geodatos Bangladés
لوگر ولايت	Provincia de Lawgar
وېشنيزه:افغانان	Categoría:Afganos
وېشنيزه:بي بي سي	Categoría:BBC
د آلمان دپاره آلترناتیف	Alternativa para Alemania
وېشنيزه:آرنی	Categoría:Artículos
کينډۍ:د هېواد مالومات د کانگو ډيموکراتيک جمهوريت	Plantilla:Geodatos República Democrática del Congo
کينډۍ:ICDO	Plantilla:CIE-O
وېشنيزه:اوبتلونه	Categoría:Submarinos
وېشنيزه:ماشیندارونه	Categoría:Subfusiles
کينډۍ:Familytree/step2	Plantilla:Árbol genealógico/step2
وېشنيزه:ليبيا	Categoría:Libia
وېشنيزه:افغاني رسنۍ	Categoría:Medios de comunicación de Afganistán
وېشنيزه:په وچې پورې تړلي هیوادونه	Categoría:Estados sin litoral
وېشنيزه:د افغانستان وټه	Categoría:Economía de Afganistán
کينډۍ:Infobox Language/family-color	Plantilla:Ficha de idioma/colores
کينډۍ:د هېواد مالومات بېلاز	Plantilla:Geodatos Belice
کينډۍ:دا وخت	Plantilla:Calendario
کينډۍ:د هېواد مالومات کوسووا	Plantilla:Geodatos Kosovo
کينډۍ:د هېواد مالومات ماورېتانيا	Plantilla:Geodatos Mauritania
کينډۍ:د هېواد مالومات ګابون	Plantilla:Geodatos Gabón
کينډۍ:د هېواد مالومات جبوتي	Plantilla:Geodatos Yibuti
کينډۍ:د هېواد مالومات آروبا	Plantilla:Geodatos Aruba
کينډۍ:د هېواد مالومات سوډان	Plantilla:Geodatos Sudán
کينډۍ:د هېواد مالومات چاډ	Plantilla:Geodatos Chad
وېشنيزه:روسي ساينسپوهان	Categoría:Científicos de Rusia
وېشنيزه:طالبان	Categoría:Talibán
وېشنيزه:بازارموندنه	Categoría:Mercadotecnia
وېشنيزه:د نړۍ هېوادونه	Categoría:Relaciones internacionales
کينډۍ:د هېواد مالومات انټيگ او بربودا	Plantilla:Geodatos Antigua y Barbuda
کينډۍ:د هېواد مالومات ګامبيا	Plantilla:Geodatos Gambia
وېشنيزه:غږپوهنه	Categoría:Fonología
کينډۍ:د هېواد مالومات نامېبيا	Plantilla:Geodatos Namibia
وېشنيزه:مالیه	Categoría:Finanzas
وېشنيزه:روسی الوتکې	Categoría:Aeronaves militares de la Unión Soviética y Rusia
وېشنيزه:روسي اوبتلونه	Categoría:Submarinos de la Armada de la Federación Rusa
وېشنيزه:د افغانستان ولايتونه	Categoría:Provincias de Afganistán
وېشنيزه:د چېک خلک	Categoría:Checos
وېشنيزه:آلمانی الوتکې	Categoría:Aeronaves militares de Alemania
وېشنيزه:مرکزي بانکونه	Categoría:Bancos centrales
وېشنيزه:کيمياوي توکي	Categoría:Elementos químicos
وېشنيزه:امريکايي فيلسوفان	Categoría:Filósofos de Estados Unidos
وېشنيزه:ساينسپوهان	Categoría:Científicos
وېشنيزه:سولګر ملتونونه	Categoría:Empresas de informática
وېشنيزه:د افغانستان پوځ	Categoría:Fuerzas armadas de Afganistán
وېشنيزه:سهېلي کوريا	Categoría:Corea del Norte
وېشنيزه:د ليبيا خلک	Categoría:Libios
وېشنيزه:د آسيا ارزونه	Categoría:Monedas de Asia
وېشنيزه:ايراني سیاستوال	Categoría:Políticos de Irán
وېشنيزه:د پاکستان سياستوال	Categoría:Políticos de Pakistán
کينډۍ:د هېواد مالومات بورکينا فاسو	Plantilla:Geodatos Burkina Faso
کينډۍ:د هېواد مالومات د منځنۍ افريقا جمهوريت	Plantilla:Geodatos República Centroafricana
وېشنيزه:خبريالي	Categoría:Periodismo
وېشنيزه:اوزبکستان	Categoría:Uzbekistán
وېشنيزه:مغولو پاچايي	Categoría:Imperio mogol
وېشنيزه:عثماني پېر	Categoría:Imperio otomano
وېشنيزه:افغاني ليکوال	Categoría:Escritores de Afganistán
کينډۍ:د هېواد مالومات سېچېلېس	Plantilla:Geodatos Seychelles
کينډۍ:د هېواد مالومات پاپوا نيوګوينا	Plantilla:Geodatos Papúa Nueva Guinea
وېشنيزه:پاکستاني هېوادمشران	Categoría:Presidentes de Pakistán
وېشنيزه:مېوې	Categoría:Frutas
وېشنيزه:زهرلرونکي نباتونه	Categoría:Plantas venenosas
وېشنيزه:د اروپا سيمې	Categoría:Regiones de Europa
وېشنيزه:د آسیا جغرافیا	Categoría:Geografía de Asia
وېشنيزه:جوماتونه	Categoría:Mezquitas
وېشنيزه:د ترکیې جوماتونه	Categoría:Mezquitas de Turquía
وېشنيزه:انتي بيوتيکونه	Categoría:Antibióticos
وېشنيزه:مسکنونه	Categoría:Analgésicos
وېشنيزه:د شمېرپوهنې ډګرونه	Categoría:Áreas de las matemáticas
وېشنيزه:خبري اژانس	Categoría:Agencias de prensa
وېشنيزه:بشرِی حقوق	Categoría:Derechos humanos
وېشنيزه:ناټو	Categoría:Organización del Tratado del Atlántico Norte
وېشنيزه:پوځي وييونه	Categoría:Terminología militar
وېشنيزه:غړي	Categoría:Órganos
وېشنيزه:وسلې	Categoría:Armas
وېشنيزه:افغان سندرغاړي	Categoría:Cantantes de Afganistán
وېشنيزه:امريکايي سندرغاړي	Categoría:Cantantes masculinos de Estados Unidos
وېشنيزه:د ټوپولف الوتکې	Categoría:Aeronaves de Túpolev
وېشنيزه:بم غورځونکي الوتکې	Categoría:Bombarderos
وېشنيزه:د بېټا-لاکټاماز انتي بيوتيکونه	Categoría:Antibióticos betalactámicos
وېشنيزه:پاړسي ژبه	Categoría:Idioma persa
وېشنيزه:اېډز	Categoría:Sida
وېشنيزه:قران	Categoría:Corán
وېشنيزه:ناروغۍ	Categoría:Enfermedades
وېشنيزه:ترافيک ترانسپورت	Categoría:Transporte
وېشنيزه:لوبې	Categoría:Deportes
وېشنيزه:کورنۍ	Categoría:Familia
وېشنيزه:قضاء	Categoría:Justicia
وېشنيزه:سندرغاړي	Categoría:Cantantes
وېشنيزه:وټپوهان	Categoría:Economistas
کينډۍ:د ژبې مالوماتبکس	Plantilla:Ficha de idioma
وېشنيزه:ځمکپوهان	Categoría:Geógrafos
وېشنيزه:ولسواکي	Categoría:Democracia
وېشنيزه:درمل	Categoría:Fármacos
وېشنيزه:ټانکونه	Categoría:Carros de combate
وېشنيزه:د آفریقا د هېوادونو پلازمېنې	Categoría:Capitales de África
وېشنيزه:ايراني هڅوب	Categoría:Cultura de Irán
وېشنيزه:د رومانیا ښارونه	Categoría:Localidades de Rumania
وېشنيزه:کراچۍ	Categoría:Karachi
وېشنيزه:کابل	Categoría:Kabul
وېشنيزه:د آسیا د هېوادونو پلازمېنې	Categoría:Capitales de Asia
وېشنيزه:چېکي واکمنان	Categoría:Reyes de Bohemia
وېشنيزه:د مسراشمیت الوتکې	Categoría:Aeronaves de Messerschmitt
وېشنيزه:د افغانستان ژبې	Categoría:Lenguas de Afganistán
وېشنيزه:د بانکوالی وییونه او اوزار	Categoría:Términos bancarios
وېشنيزه:معمر القذافي	Categoría:Muamar el Gadafi
وېشنيزه:د افغانستان جوماتونه	Categoría:Mezquitas de Afganistán
